id,userId,task,timestamp,timestamp_unix,event_type,event_data
683422ec-cf8f-4bc0-b821-235035fe2cb6,131,3,2024-06-25 10:22:08.809295,1719310928,click_table,"{""type"": ""click_table"", ""surveyID"": ""Participant$131"", ""taskID"": ""3"", ""tableName"": ""result_table""}"
fc8e3aaf-9035-4365-ab2f-105d33b3f3b6,131,1,2024-06-25 10:11:41.141614,1719310301,click_table,"{""type"": ""click_table"", ""surveyID"": ""Participant$131"", ""taskID"": ""1"", ""tableName"": ""result_table""}"
fc8e3aaf-9035-4365-ab2f-105d33b3f3b6,131,1,2024-06-25 10:15:17.879971,1719310517,click_table,"{""type"": ""click_table"", ""surveyID"": ""Participant$131"", ""taskID"": ""1"", ""tableName"": ""result_table""}"
fc8e3aaf-9035-4365-ab2f-105d33b3f3b6,131,1,2024-06-25 10:16:01.884696,1719310561,maximize_table,"{""type"": ""maximize_table"", ""surveyID"": ""Participant$131"", ""taskID"": ""1"", ""tableName"": ""SELECT \""Jahr\"", \""Stadtbezirk\"", \""Anzahl Einwohner_innen\"" FROM de_bw_freiburg_grunddaten_fuer_indikatoren_stadtbezirke___bevoelkerungsbestand WHERE \""Jahr\"" >= 1992""}"
fc8e3aaf-9035-4365-ab2f-105d33b3f3b6,131,1,2024-06-25 10:16:41.90441,1719310601,maximize_table,"{""type"": ""maximize_table"", ""surveyID"": ""Participant$131"", ""taskID"": ""1"", ""tableName"": ""SELECT \""Jahr\"", \""Stadtbezirk\"", \""Anzahl Einwohner_innen\"" FROM de_bw_freiburg_grunddaten_fuer_indikatoren_stadtbezirke___bevoelkerungsbestand WHERE \""Jahr\"" <= 1991""}"
fc8e3aaf-9035-4365-ab2f-105d33b3f3b6,131,1,2024-06-25 10:17:01.256866,1719310621,maximize_table,"{""type"": ""maximize_table"", ""surveyID"": ""Participant$131"", ""taskID"": ""1"", ""tableName"": ""SELECT \""Jahr\"", \""Stadtbezirk\"", \""Anzahl Einwohner_innen\"" FROM de_bw_freiburg_grunddaten_fuer_indikatoren_stadtbezirke___bevoelkerungsbestand WHERE \""Jahr\"" <= 1991""}"
fc8e3aaf-9035-4365-ab2f-105d33b3f3b6,131,1,2024-06-25 10:18:08.708399,1719310688,maximize_table,"{""type"": ""maximize_table"", ""surveyID"": ""Participant$131"", ""taskID"": ""1"", ""tableName"": ""SELECT \""Jahr\"", \""Stadtbezirk\"", \""Anzahl Einwohner_innen\"" FROM de_bw_freiburg_grunddaten_fuer_indikatoren_stadtbezirke___bevoelkerungsbestand WHERE \""Jahr\"" >= 1992""}"
a1b6c48f-3389-443d-95af-6293a3024b06,131,2,2024-06-25 10:25:55.270197,1719311155,maximize_table,"{""type"": ""maximize_table"", ""surveyID"": ""Participant$131"", ""taskID"": ""2"", ""tableName"": ""de_bw_freiburg_grunddaten_fuer_indikatoren_gesamtstadt___bevoelkerungsbestand""}"
5b82e31b-4905-4ad0-a587-089bb5912fdd,129,3,2024-06-25 09:31:23.80224,1719307883,click_table,"{""type"": ""click_table"", ""surveyID"": ""Participant$129"", ""taskID"": ""3"", ""tableName"": ""de_bw_freiburg_grunddaten_fuer_indikatoren_gesamtstadt___haushalte""}"
5b82e31b-4905-4ad0-a587-089bb5912fdd,129,3,2024-06-25 09:31:50.411794,1719307910,maximize_table,"{""type"": ""maximize_table"", ""surveyID"": ""Participant$129"", ""taskID"": ""3"", ""tableName"": ""de_bw_freiburg_grunddaten_fuer_indikatoren_stadtbezirke___haushalte""}"
